Date,Close,High,Low,Open,Volume
12/8/2025,277.8900146,279.6700134,276.1499939,278.1300049,38211800
12/9/2025,277.1799927,280.0299988,276.9200134,278.1600037,32193300
12/10/2025,278.7799988,279.75,276.4400024,277.75,33038300
12/11/2025,278.0299988,279.5899963,273.8099976,279.1000061,33248000
12/12/2025,278.2799988,279.2200012,276.8200073,277.8999939,39532900
12/15/2025,274.1099854,280.1499939,272.8399963,280.1499939,50409100
12/16/2025,274.6099854,275.5,271.7900085,272.8200073,37648600
12/17/2025,271.8399963,276.1600037,271.6400146,275.0100098,50138700
12/18/2025,272.1900024,273.6300049,266.9500122,273.6099854,51630700
12/19/2025,273.6700134,274.6000061,269.8999939,272.1499939,144599200
